List File,153.lst
Start Time,2017-02-17  19:17:32
Sampling Time,36 sec

Count,137
Particles / ml,8748

Efficiency,8.7%
PPUI,1.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),87.20,19.81,702.22,102.73,117.82
Aspect Ratio,0.71,0.24,0.98,0.18,24.57
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.62,0.00,0.93,0.19,31.04
Circularity (Hu),0.81,0.26,1.00,0.17,21.48
Compactness,2.52,1.11,8.96,1.58,62.68
Diameter (ABD),9.55,5.02,29.90,4.47,46.81
Diameter (ESD),12.22,5.73,47.98,6.16,50.45
Elongation,5.60,1.00,26.12,5.12,91.37
Geodesic Aspect Ratio,0.34,0.04,1.00,0.27,78.42
Geodesic Length,24.19,6.41,121.79,16.99,70.26
Geodesic Thickness,5.62,1.74,17.76,2.59,46.08
Image Height,36.27,19.00,124.00,14.46,39.86
Image Width,36.21,23.00,80.00,9.39,25.93
Intensity,164.08,124.73,224.85,15.10,9.20
Length,14.55,6.27,66.10,8.10,55.66
Perimeter,59.61,25.63,253.64,34.02,57.07
Roughness,1.37,1.05,2.52,0.27,20.05
Sigma Intensity,37.07,8.88,54.55,9.10,24.54
Sum Intensity,69259.23,20569.00,4.01e+005,61014.57,88.10
Transparency,0.21,0.08,0.53,0.10,50.59
Volume (ABD),846.56,66.31,13998.38,1878.02,221.84
Width,9.31,2.49,27.08,4.37,47.00

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,2.92,0.15,255,0.03
6-7um,10,7.30,0.53,639,0.09
7-8um,15,10.95,1.24,958,0.22
8-9um,16,11.68,1.98,1022,0.35
0-5um,0,0.00,0.00,0.00,0.00
5-10um,60,43.80,6.16,3831,1.08
10-15um,46,33.58,17.17,2937,3.00
15-20um,22,16.06,21.61,1405,3.78
20-25um,4,2.92,8.80,255,1.54
25-30um,1,0.73,4.54,64,0.80
30-35um,1,0.73,6.27,64,1.10
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.73,14.35,64,2.51
45-50um,1,0.73,21.10,64,3.69
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,13,9.49,2.09,830,0.37
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

