List File,151.lst
Start Time,2017-02-17  19:15:14
Sampling Time,36 sec

Count,120
Particles / ml,7662

Efficiency,8.7%
PPUI,1.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),108.92,20.01,710.40,111.38,102.26
Aspect Ratio,0.73,0.26,0.98,0.15,21.20
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.00,0.93,0.21,32.78
Circularity (Hu),0.84,0.26,1.00,0.15,17.92
Compactness,2.44,1.15,11.80,1.78,73.05
Diameter (ABD),10.71,5.05,30.08,4.92,45.98
Diameter (ESD),13.37,5.91,40.19,6.98,52.23
Elongation,5.32,1.00,35.05,5.76,108.19
Geodesic Aspect Ratio,0.38,0.03,1.00,0.29,75.99
Geodesic Length,26.99,6.64,168.99,24.12,89.34
Geodesic Thickness,6.29,2.04,16.85,2.61,41.57
Image Height,38.48,19.00,100.00,14.62,38.00
Image Width,38.06,25.00,86.00,12.07,31.72
Intensity,161.27,109.51,211.18,16.90,10.48
Length,15.69,6.52,49.29,8.48,54.05
Perimeter,66.56,26.55,347.62,47.69,71.65
Roughness,1.38,1.06,3.53,0.41,30.01
Sigma Intensity,39.01,3.26,55.43,8.87,22.75
Sum Intensity,82487.29,20956.00,4.60e+005,70847.38,85.89
Transparency,0.18,0.05,0.54,0.09,48.62
Volume (ABD),1127.77,67.34,14243.61,1960.68,173.85
Width,10.43,2.49,32.83,5.25,50.39

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.83,0.04,64,0.01
6-7um,13,10.83,0.62,830,0.12
7-8um,8,6.67,0.58,511,0.11
8-9um,12,10.00,1.26,766,0.25
0-5um,0,0.00,0.00,0.00,0.00
5-10um,44,36.67,3.95,2809,0.78
10-15um,40,33.33,12.34,2554,2.43
15-20um,19,15.83,16.54,1213,3.25
20-25um,9,7.50,16.44,575,3.23
25-30um,2,1.67,8.57,128,1.69
30-35um,2,1.67,10.20,128,2.01
35-40um,1,0.83,9.91,64,1.95
40-45um,2,1.67,22.05,128,4.33
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,10,8.33,1.45,639,0.29
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

