List File,112.lst
Start Time,2017-02-17  18:48:46
Sampling Time,37 sec

Count,907
Particles / ml,57451

Efficiency,8.4%
PPUI,2.36

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),87.40,19.60,984.85,86.31,98.75
Aspect Ratio,0.77,0.22,0.99,0.14,18.84
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.93,0.16,23.75
Circularity (Hu),0.87,0.24,1.00,0.12,13.77
Compactness,2.24,1.01,12.59,1.29,57.60
Diameter (ABD),9.83,5.00,35.41,3.84,39.11
Diameter (ESD),11.95,5.59,47.48,4.84,40.49
Elongation,4.68,1.00,37.51,4.21,89.89
Geodesic Aspect Ratio,0.38,0.03,1.00,0.26,69.80
Geodesic Length,23.08,6.13,143.40,15.38,66.67
Geodesic Thickness,6.04,1.77,18.20,2.16,35.71
Image Height,35.29,19.00,106.00,9.38,26.59
Image Width,36.01,20.00,95.00,9.07,25.20
Intensity,163.37,100.43,219.12,16.35,10.01
Length,13.80,5.97,59.14,5.72,41.44
Perimeter,58.23,24.53,297.22,30.21,51.88
Roughness,1.35,1.04,3.03,0.28,20.93
Sigma Intensity,38.58,3.62,54.67,8.62,22.35
Sum Intensity,69619.14,19198.00,6.37e+005,51454.39,73.91
Transparency,0.17,0.05,0.59,0.08,44.28
Volume (ABD),780.69,65.29,23249.74,1670.97,214.04
Width,9.67,2.30,37.23,4.16,43.03

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,16,1.76,0.12,1013,0.10
6-7um,69,7.61,0.75,4371,0.63
7-8um,82,9.04,1.38,5194,1.16
8-9um,83,9.15,1.98,5257,1.66
0-5um,0,0.00,0.00,0.00,0.00
5-10um,371,40.90,8.25,23500,6.91
10-15um,340,37.49,25.71,21536,22
15-20um,154,16.98,29.76,9755,25
20-25um,25,2.76,10.31,1584,8.64
25-30um,6,0.66,4.85,380,4.06
30-35um,2,0.22,2.85,127,2.39
35-40um,4,0.44,8.42,253,7.05
40-45um,2,0.22,5.27,127,4.41
45-50um,1,0.11,4.24,63,3.55
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,118,13.01,3.97,7474,3.33
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

