List File,100.lst
Start Time,2017-02-17  18:46:27
Sampling Time,37 sec

Count,212
Particles / ml,13264

Efficiency,8.6%
PPUI,1.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),93.14,19.60,725.92,83.92,90.09
Aspect Ratio,0.75,0.24,0.98,0.15,19.46
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.08,0.93,0.15,22.51
Circularity (Hu),0.87,0.31,1.00,0.12,13.47
Compactness,2.10,1.06,6.72,0.94,44.64
Diameter (ABD),10.13,5.00,30.40,4.01,39.57
Diameter (ESD),12.28,5.48,38.47,4.93,40.15
Elongation,4.23,1.00,19.07,3.11,73.52
Geodesic Aspect Ratio,0.38,0.05,1.00,0.27,70.16
Geodesic Length,22.52,6.20,102.65,13.11,58.23
Geodesic Thickness,6.28,2.08,12.55,2.16,34.32
Image Height,35.81,19.00,94.00,9.79,27.34
Image Width,36.77,22.00,90.00,9.99,27.17
Intensity,163.34,99.42,220.66,15.83,9.69
Length,14.36,5.88,44.48,5.95,41.42
Perimeter,57.59,24.79,223.26,26.27,45.61
Roughness,1.31,1.05,2.53,0.23,17.80
Sigma Intensity,38.01,4.53,53.23,9.08,23.90
Sum Intensity,73448.77,20229.00,3.61e+005,50484.16,68.73
Transparency,0.17,0.05,0.52,0.08,43.91
Volume (ABD),843.65,65.29,14712.89,1394.24,165.26
Width,9.69,2.49,33.13,4.14,42.77

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,1.89,0.12,250,0.02
6-7um,8,3.77,0.34,501,0.07
7-8um,29,13.68,2.01,1814,0.41
8-9um,16,7.55,1.58,1001,0.32
0-5um,0,0.00,0.00,0.00,0.00
5-10um,81,38.21,7.30,5068,1.48
10-15um,79,37.26,24.94,4943,5.06
15-20um,38,17.92,30.44,2378,6.17
20-25um,7,3.30,10.69,438,2.17
25-30um,2,0.94,6.79,125,1.38
30-35um,2,0.94,10.65,125,2.16
35-40um,1,0.47,9.19,63,1.86
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,24,11.32,3.25,1502,0.66
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

