List File,94.lst
Start Time,2017-02-17  18:39:26
Sampling Time,37 sec

Count,136
Particles / ml,8509

Efficiency,8.6%
PPUI,1.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.17,19.60,662.24,97.92,92.23
Aspect Ratio,0.72,0.32,0.98,0.15,20.14
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.18,0.87,0.14,21.34
Circularity (Hu),0.85,0.40,0.98,0.12,14.02
Compactness,2.19,1.13,6.41,1.08,49.56
Diameter (ABD),10.75,5.00,29.04,4.45,41.40
Diameter (ESD),13.00,5.84,36.48,5.20,40.04
Elongation,4.52,1.00,18.08,3.56,78.77
Geodesic Aspect Ratio,0.36,0.06,1.00,0.25,69.11
Geodesic Length,24.23,6.52,102.54,14.34,59.16
Geodesic Thickness,6.48,2.09,25.16,2.65,40.89
Image Height,36.99,20.00,80.00,9.72,26.28
Image Width,38.42,22.00,86.00,10.42,27.12
Intensity,158.31,96.03,212.01,17.41,11.00
Length,15.22,6.48,43.25,6.11,40.15
Perimeter,61.43,26.09,220.46,28.97,47.17
Roughness,1.35,1.05,2.28,0.27,20.01
Sigma Intensity,38.00,5.38,51.97,9.31,24.51
Sum Intensity,79035.09,18821.00,3.49e+005,56906.42,72.00
Transparency,0.17,0.07,0.47,0.08,44.67
Volume (ABD),1039.04,65.29,12819.87,1668.36,160.57
Width,10.22,2.78,26.82,4.40,43.00

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.74,0.04,63,0.01
6-7um,7,5.15,0.42,438,0.06
7-8um,13,9.56,1.17,813,0.18
8-9um,13,9.56,1.76,813,0.27
0-5um,0,0.00,0.00,0.00,0.00
5-10um,44,32.35,5.19,2753,0.79
10-15um,47,34.56,19.16,2941,2.92
15-20um,36,26.47,37.95,2252,5.79
20-25um,2,1.47,4.23,125,0.64
25-30um,4,2.94,16.41,250,2.50
30-35um,1,0.74,6.63,63,1.01
35-40um,1,0.74,10.44,63,1.59
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,9,6.62,1.68,563,0.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

