List File,C18-1.lst
Start Time,2017-02-17  17:47:38
Sampling Time,47 sec

Count,109
Particles / ml,5395

Efficiency,8.6%
PPUI,1.11

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),96.22,20.01,731.00,86.23,89.62
Aspect Ratio,0.74,0.46,0.98,0.12,16.09
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.06,0.87,0.13,18.44
Circularity (Hu),0.89,0.48,0.98,0.09,9.61
Compactness,1.85,1.08,5.25,0.65,35.33
Diameter (ABD),10.42,5.05,30.51,3.74,35.90
Diameter (ESD),12.39,5.99,44.43,4.94,39.85
Elongation,3.43,1.00,14.44,2.20,64.12
Geodesic Aspect Ratio,0.39,0.07,1.00,0.22,55.68
Geodesic Length,21.12,6.76,115.25,12.42,58.78
Geodesic Thickness,6.75,2.76,11.23,1.84,27.30
Image Height,36.50,22.00,101.00,10.00,27.39
Image Width,36.90,24.00,87.00,9.30,25.21
Intensity,156.95,116.75,181.73,13.38,8.53
Length,14.64,6.37,54.82,6.18,42.21
Perimeter,55.75,27.06,246.47,25.25,45.29
Roughness,1.27,1.04,2.15,0.19,15.22
Sigma Intensity,38.85,4.25,52.68,10.03,25.83
Sum Intensity,73026.91,22146.00,3.93e+005,50271.03,68.84
Transparency,0.15,0.07,0.37,0.06,37.62
Volume (ABD),871.75,67.34,14867.65,1600.29,183.57
Width,9.79,4.14,35.71,3.94,40.19

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,6,5.50,0.48,297,0.04
7-8um,6,5.50,0.73,297,0.07
8-9um,10,9.17,1.77,495,0.16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,34,31.19,5.67,1683,0.51
10-15um,58,53.21,35.18,2871,3.16
15-20um,14,12.84,19.47,693,1.75
20-25um,1,0.92,4.18,49,0.38
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.92,10.22,49,0.92
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.92,25.29,49,2.27
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,11,10.09,2.63,544,0.24
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

