List File,25R2.lst
Start Time,2017-02-17  16:34:25
Sampling Time,54 sec

Count,307
Particles / ml,13029

Efficiency,8.6%
PPUI,1.32

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),104.79,20.01,457.55,75.09,71.66
Aspect Ratio,0.68,0.20,0.99,0.19,28.47
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.58,0.07,0.86,0.19,32.86
Circularity (Hu),0.80,0.18,0.98,0.20,24.90
Compactness,2.51,1.14,9.94,1.48,58.87
Diameter (ABD),10.89,5.05,24.14,3.87,35.52
Diameter (ESD),13.69,5.85,33.10,4.39,32.10
Elongation,5.56,1.00,29.21,4.79,86.27
Geodesic Aspect Ratio,0.33,0.03,1.00,0.24,72.51
Geodesic Length,26.37,6.52,105.04,15.34,58.17
Geodesic Thickness,6.25,1.36,12.57,2.54,40.59
Image Height,37.15,19.00,75.00,9.69,26.08
Image Width,40.03,19.00,92.00,9.49,23.71
Intensity,166.16,108.91,218.92,19.97,12.02
Length,16.48,6.97,43.30,5.02,30.48
Perimeter,65.24,26.09,217.28,29.70,45.52
Roughness,1.34,1.05,2.40,0.29,21.64
Sigma Intensity,36.74,3.64,54.95,13.69,37.27
Sum Intensity,82270.62,19865.00,2.93e+005,48825.01,59.35
Transparency,0.20,0.08,0.62,0.12,60.61
Volume (ABD),949.64,67.34,7362.38,1051.35,110.71
Width,10.03,2.43,26.38,4.45,44.40

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.33,0.02,42,0.00
6-7um,5,1.63,0.14,212,0.03
7-8um,10,3.26,0.41,424,0.10
8-9um,21,6.84,1.23,891,0.29
0-5um,0,0.00,0.00,0.00,0.00
5-10um,64,20.85,3.99,2716,0.93
10-15um,140,45.60,27.02,5941,6.31
15-20um,80,26.06,39.21,3395,9.16
20-25um,13,4.23,12.73,552,2.98
25-30um,7,2.28,13.29,297,3.11
30-35um,1,0.33,3.45,42,0.81
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,27,8.79,2.19,1146,0.51
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

