List File,28.lst
Start Time,2017-02-17  16:42:11
Sampling Time,47 sec

Count,197
Particles / ml,9632

Efficiency,8.6%
PPUI,1.21

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),69.63,19.60,442.89,64.35,92.41
Aspect Ratio,0.78,0.44,1.00,0.12,15.91
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.19,0.90,0.14,20.74
Circularity (Hu),0.88,0.37,0.99,0.11,12.44
Compactness,2.10,1.11,10.06,1.24,59.00
Diameter (ABD),8.79,5.00,23.75,3.39,38.56
Diameter (ESD),10.68,5.57,38.40,4.35,40.70
Elongation,4.20,1.00,29.58,4.05,96.22
Geodesic Aspect Ratio,0.41,0.03,1.00,0.28,66.83
Geodesic Length,19.69,6.33,135.07,13.49,68.49
Geodesic Thickness,5.89,2.09,12.69,2.18,37.10
Image Height,33.19,23.00,89.00,8.15,24.55
Image Width,33.67,22.00,75.00,8.35,24.81
Intensity,169.28,133.18,190.97,13.83,8.17
Length,12.38,5.97,47.55,5.36,43.29
Perimeter,51.16,25.31,279.27,26.46,51.72
Roughness,1.30,1.07,2.74,0.23,17.96
Sigma Intensity,37.18,9.93,52.69,7.30,19.62
Sum Intensity,59495.95,19345.00,2.74e+005,40797.34,68.57
Transparency,0.17,0.06,0.46,0.07,43.41
Volume (ABD),548.67,65.29,7011.35,916.94,167.12
Width,8.61,3.96,27.92,3.29,38.22

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,8,4.06,0.40,391,0.04
6-7um,24,12.18,1.73,1173,0.17
7-8um,20,10.15,2.22,978,0.22
8-9um,28,14.21,4.53,1369,0.46
0-5um,0,0.00,0.00,0.00,0.00
5-10um,108,54.82,14.64,5281,1.47
10-15um,64,32.49,29.97,3129,3.02
15-20um,18,9.14,23.63,880,2.38
20-25um,4,2.03,10.97,196,1.10
25-30um,1,0.51,6.40,49,0.64
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.51,14.39,49,1.45
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,25,12.69,5.44,1222,0.55
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

