List File,29.lst
Start Time,2017-02-20  13:46:21
Sampling Time,45 sec

Count,109
Particles / ml,5624

Efficiency,8.6%
PPUI,1.21

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),63.32,19.60,452.84,79.24,125.14
Aspect Ratio,0.79,0.21,0.99,0.16,20.56
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.68,0.00,0.91,0.21,30.85
Circularity (Hu),0.86,0.26,0.99,0.17,19.96
Compactness,2.32,1.02,12.43,1.99,85.94
Diameter (ABD),8.11,5.00,24.01,3.88,47.82
Diameter (ESD),10.40,5.69,41.23,6.12,58.91
Elongation,4.89,1.00,37.04,6.42,131.39
Geodesic Aspect Ratio,0.47,0.03,1.00,0.34,70.86
Geodesic Length,19.99,6.41,132.74,19.69,98.53
Geodesic Thickness,5.67,1.84,17.21,2.47,43.49
Image Height,32.77,23.00,102.00,10.64,32.46
Image Width,33.22,22.00,107.00,12.84,38.65
Intensity,172.98,128.31,194.98,11.83,6.84
Length,12.29,6.03,59.54,8.40,68.32
Perimeter,51.33,25.63,273.29,38.42,74.85
Roughness,1.32,1.05,2.67,0.30,22.94
Sigma Intensity,34.91,9.23,49.72,6.75,19.34
Sum Intensity,56027.58,21830.00,2.83e+005,50878.60,90.81
Transparency,0.19,0.05,0.54,0.11,57.38
Volume (ABD),540.46,65.29,7249.11,1204.29,222.83
Width,8.12,4.14,23.49,3.85,47.44

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,4.59,0.32,258,0.03
6-7um,24,22.02,2.20,1238,0.18
7-8um,18,16.51,2.47,929,0.21
8-9um,15,13.76,2.98,774,0.25
0-5um,0,0.00,0.00,0.00,0.00
5-10um,73,66.97,11.05,3767,0.92
10-15um,20,18.35,10.98,1032,0.92
15-20um,5,4.59,8.22,258,0.69
20-25um,3,2.75,10.57,155,0.88
25-30um,3,2.75,22.05,155,1.84
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.92,14.42,52,1.20
40-45um,1,0.92,22.71,52,1.89
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,11,10.09,3.08,568,0.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

