List File,7.lst
Start Time,2017-02-20  13:14:19
Sampling Time,41 sec

Count,145
Particles / ml,8124

Efficiency,8.5%
PPUI,1.27

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.42,19.60,2539.65,239.42,224.98
Aspect Ratio,0.76,0.17,1.00,0.16,21.72
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.00,0.96,0.19,29.77
Circularity (Hu),0.85,0.21,1.00,0.16,18.62
Compactness,2.46,1.00,14.07,2.05,83.34
Diameter (ABD),9.76,5.00,56.86,6.36,65.12
Diameter (ESD),12.27,5.55,84.56,8.73,71.10
Elongation,5.38,1.00,42.18,6.57,122.25
Geodesic Aspect Ratio,0.37,0.02,1.00,0.26,70.35
Geodesic Length,24.53,6.05,335.96,30.93,126.08
Geodesic Thickness,6.00,1.83,26.66,3.40,56.64
Image Height,35.55,24.00,116.00,12.92,36.33
Image Width,37.44,23.00,216.00,20.06,53.58
Intensity,167.97,80.25,192.51,18.42,10.97
Length,14.55,6.03,111.93,11.37,78.14
Perimeter,61.08,24.20,690.28,62.65,102.57
Roughness,1.36,1.05,4.04,0.36,26.48
Sigma Intensity,35.55,7.30,55.95,8.16,22.96
Sum Intensity,76457.15,23452.00,1.36e+006,1.24e+005,162.71
Transparency,0.19,0.02,0.57,0.10,51.31
Volume (ABD),1615.81,65.29,96277.32,8431.15,521.79
Width,9.43,4.44,53.89,5.90,62.63

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,1.38,0.03,112,0.01
6-7um,23,15.86,0.60,1289,0.19
7-8um,21,14.48,0.83,1177,0.26
8-9um,17,11.72,0.95,952,0.30
0-5um,0,0.00,0.00,0.00,0.00
5-10um,77,53.10,3.45,4314,1.09
10-15um,26,17.93,4.32,1457,1.36
15-20um,21,14.48,10.30,1177,3.25
20-25um,11,7.59,11.84,616,3.74
25-30um,1,0.69,2.50,56,0.79
30-35um,1,0.69,3.16,56,1.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.69,8.28,56,2.62
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,1,0.69,56.15,56,18
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,13,8.97,0.98,728,0.31
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

