List File,27.lst
Start Time,2017-02-20  13:42:43
Sampling Time,44 sec

Count,42
Particles / ml,2187

Efficiency,8.6%
PPUI,1.35

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.25,20.22,172.93,32.40,63.22
Aspect Ratio,0.65,0.12,0.97,0.23,35.94
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.55,0.00,0.92,0.26,47.19
Circularity (Hu),0.73,0.17,0.99,0.25,33.93
Compactness,2.98,1.16,11.40,2.15,72.17
Diameter (ABD),7.76,5.07,14.84,2.26,29.09
Diameter (ESD),11.43,5.98,35.11,5.86,51.28
Elongation,7.04,1.00,33.79,6.92,98.34
Geodesic Aspect Ratio,0.33,0.03,1.00,0.30,90.20
Geodesic Length,22.65,6.80,89.94,15.72,69.41
Geodesic Thickness,4.72,1.83,12.15,2.49,52.66
Image Height,35.13,20.00,94.00,15.09,42.95
Image Width,34.31,24.00,75.00,10.98,32.02
Intensity,166.28,123.10,192.37,17.00,10.22
Length,14.64,6.66,49.79,9.20,62.82
Perimeter,54.75,27.19,185.21,29.31,53.53
Roughness,1.32,1.09,1.86,0.19,14.61
Sigma Intensity,31.12,5.90,53.48,10.49,33.72
Sum Intensity,46542.18,22402.00,1.29e+005,21931.03,47.12
Transparency,0.27,0.06,0.58,0.15,56.74
Volume (ABD),312.14,68.37,1710.63,323.45,103.62
Width,7.23,3.04,11.88,1.87,25.80

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,2.38,0.18,52,0.01
6-7um,4,9.52,0.92,208,0.03
7-8um,3,7.14,1.14,156,0.04
8-9um,7,16.67,3.57,365,0.12
0-5um,0,0.00,0.00,0.00,0.00
5-10um,23,54.76,11.34,1198,0.38
10-15um,9,21.43,12.88,469,0.43
15-20um,5,11.90,19.81,260,0.66
20-25um,0,0.00,0.00,0.00,0.00
25-30um,1,2.38,20.47,52,0.68
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,2.38,35.50,52,1.18
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,8,19.05,5.54,417,0.18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

