List File,62.lst
Start Time,2017-02-20  14:15:27
Sampling Time,47 sec

Count,3141
Particles / ml,161210

Efficiency,8.3%
PPUI,5.78

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),159.04,19.60,1074.86,103.09,64.82
Aspect Ratio,0.70,0.22,0.99,0.14,19.78
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.00,0.93,0.15,23.92
Circularity (Hu),0.86,0.20,1.00,0.11,12.73
Compactness,2.13,1.02,13.53,1.04,48.65
Diameter (ABD),13.52,5.00,36.99,4.45,32.96
Diameter (ESD),16.10,5.46,46.06,5.05,31.37
Elongation,4.38,1.00,40.48,3.36,76.71
Geodesic Aspect Ratio,0.32,0.02,1.00,0.18,55.59
Geodesic Length,28.58,6.02,164.27,12.21,42.70
Geodesic Thickness,7.66,1.40,18.43,2.59,33.77
Image Height,40.75,19.00,102.00,9.68,23.76
Image Width,45.60,20.00,106.00,10.62,23.30
Intensity,155.93,86.23,192.76,16.00,10.26
Length,19.03,5.88,54.62,6.11,32.10
Perimeter,72.49,24.07,336.65,25.10,34.62
Roughness,1.35,1.05,2.71,0.22,16.37
Sigma Intensity,39.06,4.39,60.86,9.54,24.43
Sum Intensity,1.10e+005,16500.00,5.30e+005,60021.24,54.67
Transparency,0.16,0.05,0.61,0.07,44.59
Volume (ABD),1730.61,65.29,26508.78,1784.95,103.14
Width,12.54,3.04,35.86,4.28,34.09

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,15,0.48,0.02,770,0.08
6-7um,67,2.13,0.11,3439,0.51
7-8um,72,2.29,0.17,3695,0.80
8-9um,75,2.39,0.28,3849,1.27
0-5um,0,0.00,0.00,0.00,0.00
5-10um,360,11.46,1.24,18477,5.71
10-15um,898,28.59,10.87,46089,50
15-20um,1280,40.75,40.68,65695,188
20-25um,472,15.03,29.21,24225,135
25-30um,76,2.42,8.66,3901,40
30-35um,22,0.70,4.38,1129,20
35-40um,9,0.29,2.81,462,13
40-45um,2,0.06,0.80,103,3.71
45-50um,2,0.06,1.13,103,5.23
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,129,4.11,0.65,6621,3.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

