List File,2.lst
Start Time,2017-02-20  13:01:42
Sampling Time,41 sec

Count,95
Particles / ml,5314

Efficiency,8.6%
PPUI,1.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),64.53,19.60,325.43,55.67,86.27
Aspect Ratio,0.78,0.24,0.96,0.15,18.98
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.08,0.92,0.16,24.16
Circularity (Hu),0.84,0.34,0.99,0.15,17.46
Compactness,2.41,1.03,5.51,1.15,47.84
Diameter (ABD),8.48,5.00,20.36,3.23,38.07
Diameter (ESD),10.65,5.61,23.27,4.05,38.02
Elongation,5.28,1.00,15.25,3.78,71.63
Geodesic Aspect Ratio,0.32,0.07,1.00,0.25,78.22
Geodesic Length,21.76,6.16,67.95,12.09,55.57
Geodesic Thickness,4.98,1.82,9.41,1.80,36.10
Image Height,33.72,24.00,61.00,7.69,22.79
Image Width,33.43,24.00,59.00,7.85,23.48
Intensity,169.78,134.68,207.77,13.78,8.12
Length,12.39,6.11,32.59,5.02,40.54
Perimeter,53.48,24.66,145.27,23.68,44.27
Roughness,1.37,1.06,2.08,0.25,17.96
Sigma Intensity,35.00,3.79,49.97,8.80,25.14
Sum Intensity,56776.95,22948.00,2.33e+005,38069.55,67.05
Transparency,0.20,0.06,0.47,0.09,45.83
Volume (ABD),480.87,65.29,4416.30,694.30,144.38
Width,8.57,4.18,19.95,3.42,39.89

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,2.11,0.23,112,0.01
6-7um,7,7.37,1.11,392,0.05
7-8um,15,15.79,3.86,839,0.19
8-9um,19,20.00,6.75,1063,0.33
0-5um,0,0.00,0.00,0.00,0.00
5-10um,54,56.84,17.85,3020,0.87
10-15um,24,25.26,27.08,1342,1.33
15-20um,8,8.42,22.50,447,1.10
20-25um,5,5.26,31.98,280,1.56
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,10,10.53,5.45,559,0.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

