file_name,temp,replicate,cell_density,start_time,cell_volume
data-raw/flowcam-summaries-feb17/1_summary,,1,14122,17-02-17 16:00,823.19
data-raw/flowcam-summaries-feb17/10_summary,,10,21615,17-02-17 16:21,830.31
data-raw/flowcam-summaries-feb17/100_summary,,100,13264,17-02-17 18:46,843.65
data-raw/flowcam-summaries-feb17/11_summary,,11,16867,17-02-17 16:22,1010.92
data-raw/flowcam-summaries-feb17/111_summary,,111,19208,17-02-17 18:47,849.25
data-raw/flowcam-summaries-feb17/112_summary,,112,57451,17-02-17 18:48,780.69
data-raw/flowcam-summaries-feb17/113_summary,,113,33862,17-02-17 18:49,822.68
data-raw/flowcam-summaries-feb17/114_summary,,114,10824,17-02-17 18:51,909.94
data-raw/flowcam-summaries-feb17/115_summary,,115,13527,17-02-17 18:52,981.29
data-raw/flowcam-summaries-feb17/116_summary,,116,10129,17-02-17 18:53,1069.59
data-raw/flowcam-summaries-feb17/117_summary,,117,13213,17-02-17 18:54,796.22
data-raw/flowcam-summaries-feb17/118_summary,,118,17425,17-02-17 18:55,997.21
data-raw/flowcam-summaries-feb17/119_summary,,119,13224,17-02-17 18:57,1193.46
data-raw/flowcam-summaries-feb17/120_summary,,120,10346,17-02-17 18:58,1607.74
data-raw/flowcam-summaries-feb17/131_summary,,131,7263,17-02-17 19:04,1339.79
data-raw/flowcam-summaries-feb17/132_summary,,132,7796,17-02-17 19:05,1003.92
data-raw/flowcam-summaries-feb17/133_summary,,133,9803,17-02-17 19:06,1605.64
data-raw/flowcam-summaries-feb17/135_summary,,135,6517,17-02-17 19:08,1082.44
data-raw/flowcam-summaries-feb17/136_summary,,136,5152,17-02-17 19:09,2120.56
data-raw/flowcam-summaries-feb17/137_summary,,137,7920,17-02-17 19:10,1193.59
data-raw/flowcam-summaries-feb17/138_summary,,138,7398,17-02-17 19:11,1159.28
data-raw/flowcam-summaries-feb17/139_summary,,139,9280,17-02-17 19:12,1219.38
data-raw/flowcam-summaries-feb17/140_summary,,140,8563,17-02-17 19:14,984.13
data-raw/flowcam-summaries-feb17/151_summary,,151,7662,17-02-17 19:15,1127.77
data-raw/flowcam-summaries-feb17/152_summary,,152,7199,17-02-17 19:16,1307.57
data-raw/flowcam-summaries-feb17/153_summary,,153,8748,17-02-17 19:17,846.56
data-raw/flowcam-summaries-feb17/154_summary,,154,14199,17-02-17 19:18,1137.39
data-raw/flowcam-summaries-feb17/155_summary,,155,26197,17-02-17 19:19,1342.31
data-raw/flowcam-summaries-feb17/156_summary,,156,13287,17-02-17 19:20,1639.75
data-raw/flowcam-summaries-feb17/157_summary,,157,19914,17-02-17 19:23,918.14
data-raw/flowcam-summaries-feb17/158_summary,,158,24004,17-02-17 19:24,1129.26
data-raw/flowcam-summaries-feb17/159_summary,,159,15678,17-02-17 19:25,1105.58
data-raw/flowcam-summaries-feb17/160_summary,,160,10633,17-02-17 19:26,1255.82
data-raw/flowcam-summaries-feb17/2_summary_export,,2,42873,17-02-17 16:01,566.71
data-raw/flowcam-summaries-feb17/21R2_summary,,21,17689,17-02-17 16:24,867.12
data-raw/flowcam-summaries-feb17/22_summary,,22,18640,17-02-17 16:26,1030.28
data-raw/flowcam-summaries-feb17/23_summary,,23,17622,17-02-17 16:28,1045.93
data-raw/flowcam-summaries-feb17/25R2_summary,,25,13029,17-02-17 16:34,949.64
data-raw/flowcam-summaries-feb17/26_summary,,26,12374,17-02-17 16:38,1105.19
data-raw/flowcam-summaries-feb17/27R2_summary,,27,11320,17-02-17 16:39,935.42
data-raw/flowcam-summaries-feb17/28_summary,,28,9632,17-02-17 16:42,548.67
data-raw/flowcam-summaries-feb17/29R2_summary,,29,10770,17-02-17 16:45,807.24
data-raw/flowcam-summaries-feb17/3_summary,,3,24410,17-02-17 16:09,992.56
data-raw/flowcam-summaries-feb17/30_summary,,30,17613,17-02-17 16:46,914.06
data-raw/flowcam-summaries-feb17/4_summary,,4,65627,17-02-17 16:11,923.25
data-raw/flowcam-summaries-feb17/41R2_summary,,41,20162,17-02-17 16:48,1031.41
data-raw/flowcam-summaries-feb17/43_summary,,43,4214,17-02-17 16:54,859.03
data-raw/flowcam-summaries-feb17/44R2_summary,,44,60607,17-02-17 16:59,1557.2
data-raw/flowcam-summaries-feb17/46R2_summary,,46,11090,17-02-17 17:06,939.94
data-raw/flowcam-summaries-feb17/47_summary,,47,20026,17-02-17 17:04,1085.59
data-raw/flowcam-summaries-feb17/48_summary,,48,26401,17-02-17 17:07,1112.93
data-raw/flowcam-summaries-feb17/49_summary,,49,28501,17-02-17 17:10,1130.61
data-raw/flowcam-summaries-feb17/5_summary,,5,55805,17-02-17 16:12,960.02
data-raw/flowcam-summaries-feb17/50R2_summary,,50,21655,17-02-17 17:14,1353.21
data-raw/flowcam-summaries-feb17/6_summary,,6,14759,17-02-17 16:14,1036.38
data-raw/flowcam-summaries-feb17/61_summary,,61,23193,17-02-17 17:16,821.73
data-raw/flowcam-summaries-feb17/62_summary,,62,172743,17-02-17 17:17,1473.89
data-raw/flowcam-summaries-feb17/64_summary,,64,9210,17-02-17 17:22,845.42
data-raw/flowcam-summaries-feb17/67_summary,,67,19319,17-02-17 17:27,637.53
data-raw/flowcam-summaries-feb17/68_summary,,68,10170,17-02-17 17:29,697.31
data-raw/flowcam-summaries-feb17/7_summary,,7,15781,17-02-17 16:16,1018.1
data-raw/flowcam-summaries-feb17/8_summary,,8,23954,17-02-17 16:18,1100.87
data-raw/flowcam-summaries-feb17/9_summary,,9,20539,17-02-17 16:20,1006.11
data-raw/flowcam-summaries-feb17/91_summary,,91,8556,17-02-17 18:35,1257.53
data-raw/flowcam-summaries-feb17/92_summary,,92,11085,17-02-17 18:37,1563.44
data-raw/flowcam-summaries-feb17/93_summary,,93,13436,17-02-17 18:38,1017.63
data-raw/flowcam-summaries-feb17/94_summary,,94,8509,17-02-17 18:39,1039.04
data-raw/flowcam-summaries-feb17/95_summary,,95,9367,17-02-17 18:40,1057.9
data-raw/flowcam-summaries-feb17/96_summary,,96,14573,17-02-17 18:41,678.21
data-raw/flowcam-summaries-feb17/97_summary,,97,9135,17-02-17 18:42,912.91
data-raw/flowcam-summaries-feb17/98_summary,,98,10170,17-02-17 18:44,728.95
data-raw/flowcam-summaries-feb17/99_summary,,99,12939,17-02-17 18:45,1401.07
data-raw/flowcam-summaries-feb17/C12-1_summary,12,C12-1,10726,17-02-17 17:35,580.95
data-raw/flowcam-summaries-feb17/C12-3_summary,12,C12-3,16745,17-02-17 17:40,803.4
data-raw/flowcam-summaries-feb17/C12-4_summary,12,C12-4,11359,17-02-17 17:45,970.56
data-raw/flowcam-summaries-feb17/C18-1_summary,18,C18-1,5395,17-02-17 17:47,871.75
data-raw/flowcam-summaries-feb17/C18-3_summary,18,C18-3,7418,17-02-17 17:51,786.27
data-raw/flowcam-summaries-feb17/C18-4_summary,18,C18-4,6805,17-02-17 17:52,728.08
data-raw/flowcam-summaries-feb17/C18-5_summary,18,C18-5,6012,17-02-17 18:34,701.05
data-raw/flowcam-summaries-feb20/1_summary,,1,927,17-02-20 12:59,404.36
